+------------------------------------------------+------------+
|                    Trigger                     | Acceptance |
|             EF_j55_fj55_a4tc_EFFS              |    1.0%    |
|                 EF_2e15_loose                  |    1.0%    |
|            EF_e20_medium_IDTrkNoCut            |    1.0%    |
|                 EF_g100_loose                  |    1.0%    |
|                 EF_g150_etcut                  |    0.9%    |
|              EF_mu4_L1J30_matched              |    0.9%    |
|               EF_j240_a10tc_EFFS               |    0.9%    |
|                 EF_mu15_NoAlg                  |    0.8%    |
|         EF_e15_medium_xe40_noMu_loose          |    0.8%    |
|             EF_g20_loose_g30_loose             |    0.7%    |
|                 EF_mu20_NoAlg                  |    0.7%    |
|                   EF_mu10_MG                   |    0.6%    |
|                 EF_mu10_loose                  |    0.6%    |
|                   EF_mu10_NL                   |    0.6%    |
|                    EF_mu10                     |    0.6%    |
|                  EF_mu10_j30                   |    0.6%    |
|               EF_j240_a4tc_EFFS                |    0.6%    |
|              EF_tau16_loose_mu10               |    0.5%    |
|               EF_j250_a4tc_EFFS                |    0.5%    |
|                  EF_e15_tight                  |    0.5%    |
|              EF_mu4_L1J50_matched              |    0.5%    |
|      EF_j75_j30_a4tc_EFFS_L2leadingmct150      |    0.4%    |
|                  EF_e18_tight                  |    0.4%    |
|             EF_mu10_muCombTag_NoEF             |    0.4%    |
|           EF_j35_a4tc_EFFS_L1TAU_HV            |    0.4%    |
|            EF_j35_L1TAU_HV_jetNoEF             |    0.4%    |
|                   EF_mu13_MG                   |    0.4%    |
|              EF_tau16_medium_mu10              |    0.4%    |
|                    EF_mu13                     |    0.4%    |
|             EF_mu13_muCombTag_NoEF             |    0.4%    |
|               EF_e15_HLTtighter                |    0.4%    |
|                 EF_e15_tight1                  |    0.4%    |
|       EF_j75_j30_a4tc_EFFS_leadingmct150       |    0.4%    |
|               EF_mu4_Trk_Upsi_FS               |    0.4%    |
|                   EF_mu15_MG                   |    0.3%    |
|                    EF_mu15                     |    0.3%    |
|               EF_j300_a10tc_EFFS               |    0.3%    |
|                EF_e10_loose_mu6                |    0.3%    |
|            EF_tau16_loose_e15_tight            |    0.3%    |
|      EF_j75_j30_a4tc_EFFS_L2leadingmct175      |    0.3%    |
|                  EF_e20_tight                  |    0.2%    |
|                 EF_mu20_MSonly                 |    0.2%    |
|                   EF_mu18_MG                   |    0.2%    |
|              EF_tau16_loose_mu15               |    0.2%    |
|              EF_tau20_loose_mu15               |    0.2%    |
|                EF_e5_medium_mu4                |    0.2%    |
|            EF_tau29_loose_e15_tight            |    0.2%    |
|              EF_mu4_L1J75_matched              |    0.2%    |
|                    EF_mu18                     |    0.2%    |
|              EF_tau29_loose_mu15               |    0.2%    |
|              EF_tau16_medium_mu15              |    0.2%    |
|           EF_tau16_medium_e15_tight            |    0.2%    |
|                   EF_mu20_MG                   |    0.2%    |
|             EF_j75_fj75_a4tc_EFFS              |    0.2%    |
|                 EF_2mu10_NoAlg                 |    0.2%    |
|                    EF_mu20                     |    0.2%    |
|                   EF_mu22_MG                   |    0.2%    |
|               EF_e10_loose_mu10                |    0.1%    |
|                    EF_mu22                     |    0.1%    |
|             EF_e15_tight_xe30_noMu             |    0.1%    |
|                 EF_2e10_medium                 |    0.1%    |
|                    EF_2mu4                     |    0.1%    |
|                 EF_2e12_medium                 |    0.1%    |
|             EF_mu15_j90_a4tc_EFFS              |    0.1%    |
|               EF_e10_medium_mu6                |    0.1%    |
|                   EF_mu4_mu6                   |    0.1%    |
|                 EF_mu40_MSonly                 |    0.1%    |
|              EF_mu40_MSonly_tight              |    0.1%    |
|             EF_mu40_MSonly_tighter             |    0.1%    |
|                EF_mu4_Trk_Jpsi                 |    0.1%    |
|               EF_e15_medium_mu6                |    0.1%    |
|               EF_j400_a10tc_EFFS               |    0.1%    |
|                   EF_2mu6_NL                   |    0.0%    |
|                    EF_2mu6                     |    0.0%    |
|             EF_mu40_MSonly_barrel              |    0.0%    |
|               EF_e10_medium_mu10               |    0.0%    |
|       EF_2mu6_MSonly_g10_loose_noOvlpRm        |    0.0%    |
|               EF_mu20_IDTrkNoCut               |    0.0%    |
|            EF_2mu6_MSonly_g10_loose            |    0.0%    |
|            EF_2mu10_loose_noOvlpRm             |    0.0%    |
|                 EF_mu60_MSonly                 |    0.0%    |
|                    EF_mu15i                    |    0.0%    |
|                 EF_mu80_MSonly                 |    0.0%    |
|                EF_mu4_DiMu_noOS                |    0.0%    |
|               EF_2mu6_g10_loose                |    0.0%    |
|                EF_mu6_DiMu_noOS                |    0.0%    |
|                    EF_mu20i                    |    0.0%    |
|                EF_mu100_MSonly                 |    0.0%    |
|                  EF_mu4_DiMu                   |    0.0%    |
|                 EF_mu4_BmumuX                  |    0.0%    |
|                  EF_mu6_DiMu                   |    0.0%    |
|               EF_2mu6_e10_loose                |    0.0%    |
|       EF_e5_medium_mu4_topoAngle_medium        |    0.0%    |
|                 EF_mu6_BmumuX                  |    0.0%    |
|        EF_e5_medium_mu4_topoAngle_tight        |    0.0%    |
|                 EF_mu4mu6_DiMu                 |    0.0%    |
|                EF_2mu4_DiMu_DY                 |    0.0%    |
|                  EF_2mu4_DiMu                  |    0.0%    |
|            EF_mu4_Upsimumu_tight_FS            |    0.0%    |
|                  EF_mu40_slow                  |    0.0%    |
|               EF_e10_medium_2mu6               |    0.0%    |
|                EF_mu6_Jpsimumu                 |    0.0%    |
|             EF_mu6_Jpsimumu_tight              |    0.0%    |
|                EF_mu15_mu7_EFFS                |    0.0%    |
|             EF_mu4_Jpsimumu_tight              |    0.0%    |
|                EF_mu4_Jpsimumu                 |    0.0%    |
|                 EF_mu15_EFxe45                 |    0.0%    |
|                    EF_2mu10                    |    0.0%    |
|                  EF_2mu6_DiMu                  |    0.0%    |
|               EF_2e10_medium_mu6               |    0.0%    |
|                 EF_2mu10_loose                 |    0.0%    |
|             EF_mu6_Jpsimumu_SiTrk              |    0.0%    |
|        EF_e5_tight_mu4_topoAngle_medium        |    0.0%    |
|                EF_mu10_Jpsimumu                |    0.0%    |
|                EF_mu4mu6_BmumuX                |    0.0%    |
|        EF_e5_tight_mu4_topoAngle_tight         |    0.0%    |
|                EF_2mu4_Jpsimumu                |    0.0%    |
|            EF_mu6_Upsimumu_tight_FS            |    0.0%    |
|                EF_mu4mu6_Bmumu                 |    0.0%    |
|                EF_mu20_mu7_EFFS                |    0.0%    |
|                EF_2mu6_Jpsimumu                |    0.0%    |
|                 EF_2mu4_Bmumu                  |    0.0%    |
|               EF_mu15_mu10_EFFS                |    0.0%    |
|                  EF_mu4_Bmumu                  |    0.0%    |
|                 EF_2mu4_Bmumux                 |    0.0%    |
|                 EF_2mu6_Bmumux                 |    0.0%    |
|               EF_mu4mu6_Jpsimumu               |    0.0%    |
|              EF_eb_physics_noL1PS              |    0.0%    |
|           EF_e5_tight_e4_etcut_Jpsi            |    0.0%    |
|                 EF_je500_NoEF                  |    0.0%    |
|               EF_mu4_Jpsimumu_FS               |    0.0%    |
|             EF_j30_jetNoEF_cosmic              |    0.0%    |
|           EF_e9_tight_e5_tight_Jpsi            |    0.0%    |
|                 EF_2mu6_Bmumu                  |    0.0%    |
|          EF_mu4_L1MU11_MSonly_cosmic           |    0.0%    |
|                 EF_mu20_empty                  |    0.0%    |
|             EF_mu40_slow_outOfTime             |    0.0%    |
|                 EF_je195_NoEF                  |    0.0%    |
|                 EF_mu4_DiMu_MG                 |    0.0%    |
|           EF_eb_physics_unpaired_iso           |    0.0%    |
|                 EF_je255_NoEF                  |    0.0%    |
|          EF_mu0_unpaired_noniso_NoAlg          |    0.0%    |
|               EF_mu4_Upsimumu_FS               |    0.0%    |
|                  EF_eb_random                  |    0.0%    |
|           EF_j50_jetNoEF_firstempty            |    0.0%    |
|               EF_j30_firstempty                |    0.0%    |
|             EF_e5_NoCut_firstempty             |    0.0%    |
|           EF_mu0_unpaired_iso_NoAlg            |    0.0%    |
|           EF_e5_tight_e9_etcut_Jpsi            |    0.0%    |
|           EF_j50_jetNoCut_firstempty           |    0.0%    |
|        EF_j30_jetNoCut_unpaired_noniso         |    0.0%    |
|              EF_mu4_unpaired_iso               |    0.0%    |
|           EF_2mu13_Zmumu_IDTrkNoCut            |    0.0%    |
|                 EF_2e5_medium                  |    0.0%    |
|               EF_tauNoCut_cosmic               |    0.0%    |
|                  EF_e5_tight                   |    0.0%    |
|            EF_mu0_firstempty_NoAlg             |    0.0%    |
|                 EF_j30_cosmic                  |    0.0%    |
|               EF_2mu10_noOvlpRm                |    0.0%    |
|         EF_mu4mu6_Jpsimumu_IDTrkNoCut          |    0.0%    |
|                 EF_je420_NoEF                  |    0.0%    |
|           EF_j30_jetNoEF_firstempty            |    0.0%    |
|               EF_mu4_DiMu_MG_FS                |    0.0%    |
|              EF_2mu10_loose_empty              |    0.0%    |
|              EF_e5_tight_e5_NoCut              |    0.0%    |
|               EF_mu4_firstempty                |    0.0%    |
|   EF_j35_a4tc_EFFS_L1TAU_HV_unpaired_noniso    |    0.0%    |
|             EF_j50_jetNoEF_cosmic              |    0.0%    |
|                 EF_je350_NoEF                  |    0.0%    |
|               EF_mu4mu6_Upsimumu               |    0.0%    |
|                 EF_je300_NoEF                  |    0.0%    |
|                EF_2mu4_Upsimumu                |    0.0%    |
|              EF_eb_physics_empty               |    0.0%    |
|                 EF_je135_NoEF                  |    0.0%    |
|             EF_mu20_muCombTag_NoEF             |    0.0%    |
|      EF_j35_a4tc_EFFS_L1TAU_HV_firstempty      |    0.0%    |
|           EF_j30_jetNoCut_firstempty           |    0.0%    |
|              EF_mu4_MSonly_cosmic              |    0.0%    |
|          EF_j30_jetNoCut_unpaired_iso          |    0.0%    |
|                EF_2mu6_Upsimumu                |    0.0%    |
|             EF_tauNoCut_firstempty             |    0.0%    |
|              EF_g10_NoCut_cosmic               |    0.0%    |
|          EF_tauNoCut_unpaired_noniso           |    0.0%    |
|               EF_mu0_empty_NoAlg               |    0.0%    |
|              EF_mu11_empty_NoAlg               |    0.0%    |
|            EF_eb_physics_firstempty            |    0.0%    |
|              EF_e20_medium_SiTrk               |    0.0%    |
|            EF_mu4_Upsimumu_SiTrk_FS            |    0.0%    |
|              EF_mu40_MSonly_empty              |    0.0%    |
|          EF_2mu4_Jpsimumu_IDTrkNoCut           |    0.0%    |
|                 EF_mu4_DiMu_FS                 |    0.0%    |
|                EF_g20_loose_cnv                |    0.0%    |
|              EF_2e5_medium_SiTrk               |    0.0%    |
|         EF_e5_tight_e4_etcut_Jpsi_TRT          |    0.0%    |
|             EF_g40_loose_larcalib              |    0.0%    |
|        EF_e5_tight_e4_etcut_Jpsi_SiTrk         |    0.0%    |
|                EF_e5_NoCut_L2SW                |    0.0%    |
|               EF_2mu4_DiMu_SiTrk               |    0.0%    |
|                  EF_e10_NoCut                  |    0.0%    |
|                 EF_mu4_cosmic                  |    0.0%    |
|         EF_j35_L1TAU_HV_jetNoEF_cosmic         |    0.0%    |
|             EF_g20_loose_larcalib              |    0.0%    |
|                  EF_mu6_Bmumu                  |    0.0%    |
|              EF_mu4_DiMu_FS_noOS               |    0.0%    |
|               EF_2e5_medium_TRT                |    0.0%    |
|              EF_mu10_Upsimumu_FS               |    0.0%    |
|               EF_g5_NoCut_cosmic               |    0.0%    |
|               EF_mu0_missingRoi                |    0.0%    |
|                 EF_j50_cosmic                  |    0.0%    |
|                EF_e5_tight_TRT                 |    0.0%    |
|              EF_mu4_L1MU11_cosmic              |    0.0%    |
|               EF_mu6_Upsimumu_FS               |    0.0%    |
|                 EF_2mu10_empty                 |    0.0%    |
|           EF_e5_tight_e5_NoCut_Jpsi            |    0.0%    |
|     EF_j35_a4tc_EFFS_L1TAU_HV_unpaired_iso     |    0.0%    |
|              EF_mu4_DiMu_SiTrk_FS              |    0.0%    |
|               EF_eb_random_empty               |    0.0%    |
|               EF_e20_medium_TRT                |    0.0%    |
|           EF_eb_random_unpaired_iso            |    0.0%    |
|         EF_eb_physics_unpaired_noniso          |    0.0%    |
|            EF_eb_random_firstempty             |    0.0%    |
|                 EF_eb_physics                  |    0.0%    |
|                  EF_2e5_tight                  |    0.0%    |
|               EF_mu40_slow_empty               |    0.0%    |
|                EF_e20_loose_TRT                |    0.0%    |
|            EF_2mu4_DiMu_noVtx_noOS             |    0.0%    |
|               EF_j50_firstempty                |    0.0%    |
|               EF_2mu4_DiMu_noVtx               |    0.0%    |
|            EF_tauNoCut_unpaired_iso            |    0.0%    |
|               EF_2e5_tight_Jpsi                |    0.0%    |
|           EF_e5_tight_e7_etcut_Jpsi            |    0.0%    |
|               EF_e5_NoCut_Ringer               |    0.0%    |
|               EF_mu4_DiMu_SiTrk                |    0.0%    |
+------------------------------------------------+------------+

