# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/MC12APAPER2014
# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/MC12ATauTauPub2014
# https://indico.cern.ch/event/298355/contribution/3/material/slides/0.pdf
#DSID  xsec [pb]  kfac  filter  name

#Top
147126  1.2560  1.18  1.0  mc12_8TeV.147126.AlpgenPythia_Auto_P2011C_ZtautauNp5incl.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344

#W+jets
147025  8136.8  1.15  1.0  mc12_8TeV.147025.AlpgenPythia_Auto_P2011C_WenuNp0.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147026  1791.5  1.15  1.0  mc12_8TeV.147026.AlpgenPythia_Auto_P2011C_WenuNp1.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147027  541.6  1.15  1.0  mc12_8TeV.147027.AlpgenPythia_Auto_P2011C_WenuNp2.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147028  146.65  1.15  1.0  mc12_8TeV.147028.AlpgenPythia_Auto_P2011C_WenuNp3.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147029  37.295  1.15  1.0  mc12_8TeV.147029.AlpgenPythia_Auto_P2011C_WenuNp4.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147030  11.369  1.15  1.0  mc12_8TeV.147030.AlpgenPythia_Auto_P2011C_WenuNp5incl.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147033  8133.4  1.15  1.0  mc12_8TeV.147033.AlpgenPythia_Auto_P2011C_WmunuNp0.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147034  1792.7  1.15  1.0  mc12_8TeV.147034.AlpgenPythia_Auto_P2011C_WmunuNp1.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147035  541.27  1.15  1.0  mc12_8TeV.147035.AlpgenPythia_Auto_P2011C_WmunuNp2.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147036  146.49  1.15  1.0  mc12_8TeV.147036.AlpgenPythia_Auto_P2011C_WmunuNp3.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147037  37.334  1.15  1.0  mc12_8TeV.147037.AlpgenPythia_Auto_P2011C_WmunuNp4.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147038  11.414  1.15  1.0  mc12_8TeV.147038.AlpgenPythia_Auto_P2011C_WmunuNp5incl.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147041  8135.7  1.15  1.0  mc12_8TeV.147041.AlpgenPythia_Auto_P2011C_WtaunuNp0.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
147042  1793.7  1.15  1.0  mc12_8TeV.147042.AlpgenPythia_Auto_P2011C_WtaunuNp1.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
147043  541.24  1.15  1.0  mc12_8TeV.147043.AlpgenPythia_Auto_P2011C_WtaunuNp2.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
147044  146.48  1.15  1.0  mc12_8TeV.147044.AlpgenPythia_Auto_P2011C_WtaunuNp3.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
147045  37.264  1.15  1.0  mc12_8TeV.147045.AlpgenPythia_Auto_P2011C_WtaunuNp4.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
147046  11.537  1.15  1.0  mc12_8TeV.147046.AlpgenPythia_Auto_P2011C_WtaunuNp5incl.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
